city,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Beijing,4315.0,5007.21,6033.21,6969.52,8117.78,9846.81,11115.0,12153.03,14113.58,16251.93
Tianjin,2150.76,2578.03,3110.97,3905.64,4462.74,5252.76,6719.01,7521.85,9224.46,11307.28
Hebei,6018.28,6921.29,8477.63,10012.11,11467.6,13607.32,16011.97,17235.48,20394.26,24515.76
Shanxi,2324.8,2855.23,3571.37,4230.53,4878.61,6024.45,7315.4,7358.31,9200.86,11237.55
Inner Mongolia,1940.94,2388.38,3041.07,3905.03,4944.25,6423.18,8496.2,9740.25,11672.0,14359.88
Liaoning,5458.22,6002.54,6672.0,8047.26,9304.52,11164.3,13668.58,15212.49,18457.27,22226.7
Jilin,2348.54,2662.08,3122.01,3620.27,4275.12,5284.69,6426.1,7278.75,8667.58,10568.83
Heilongjiang,3637.2,4057.4,4750.6,5513.7,6211.8,7104.0,8314.37,8587.0,10368.6,12582.0
Shanghai,5741.03,6694.23,8072.83,9247.66,10572.24,12494.01,14069.87,15046.45,17165.98,19195.69
Jiangsu,10606.85,12442.87,15003.6,18598.69,21742.05,26018.48,30981.98,34457.3,41425.48,49110.27
Zhejiang,8003.67,9705.02,11648.7,13417.68,15718.47,18753.73,21462.69,22990.35,27722.31,32318.85
Anhui,3519.72,3923.11,4759.3,5350.17,6112.5,7360.92,8851.66,10062.82,12359.33,15300.65
Fujian,4467.55,4983.67,5763.35,6554.69,7583.85,9248.53,10823.01,12236.53,14737.12,17560.18
Jiangxi,2450.48,2807.41,3456.7,4056.76,4820.53,5800.25,6971.05,7655.18,9451.26,11702.82
Shandong,10275.5,12078.15,15021.84,18366.87,21900.19,25776.91,30933.28,33896.65,39169.92,45361.85
Henan,6035.48,6867.7,8553.79,10587.42,12362.79,15012.46,18018.53,19480.46,23092.36,26931.03
Hubei,4212.82,4757.45,5633.24,6590.19,7617.47,9333.4,11328.92,12961.1,15967.61,19632.26
Hunan,4151.54,4659.99,5641.94,6596.1,7688.67,9439.6,11555.0,13059.69,16037.96,19669.56
Guangdong,13502.42,15844.64,18864.62,22557.37,26587.76,31777.01,36796.71,39482.56,46013.06,53210.28
Guangxi,2523.73,2821.11,3433.5,3984.1,4746.16,5823.41,7021.0,7759.16,9569.85,11720.87
Hainan,642.73,713.96,819.66,918.75,1065.67,1254.17,1503.06,1654.21,2064.5,2522.66
Chongqing,2232.86,2555.72,3034.58,3467.72,3907.23,4676.13,5793.66,6530.01,7925.58,10011.37
Sichuan,4725.01,5333.09,6379.63,7385.1,8690.24,10562.39,12601.23,14151.28,17185.48,21026.68
Guizhou,1243.43,1426.34,1677.8,2005.42,2338.98,2884.11,3561.56,3912.68,4602.16,5701.84
Yunnan,2312.82,2556.02,3081.91,3462.73,3988.14,4772.52,5692.12,6169.75,7224.18,8893.12
Tibet,162.04,185.09,220.34,248.8,290.76,341.43,394.85,441.36,507.46,605.83
Shaanxi,2253.39,2587.72,3175.58,3933.72,4743.61,5757.29,7314.58,8169.8,10123.48,12512.3
Gansu,1232.03,1399.83,1688.49,1933.98,2277.35,2703.98,3166.82,3387.56,4120.75,5020.37
Qinghai,340.65,390.2,466.1,543.32,648.5,797.35,1018.62,1081.27,1350.43,1670.44
Ningxia,377.16,445.36,537.11,612.61,725.9,919.11,1203.92,1353.31,1689.65,2102.21
Xinjiang,1612.6,1886.35,2209.09,2604.19,3045.26,3523.16,4183.21,4277.05,5437.47,6610.05
